student_id,technical_skills,soft_skills,project_titles
1,"Python, SQL, React","Communication, Teamwork, Leadership","E-commerce Platform, IoT Dashboard, REST API"
2,"Python, Java, JavaScript","Communication, Problem Solving, Adaptability","ML Recommendation Engine, Web Portal, Mobile App"
3,"C++, Java, Python","Teamwork, Time Management, Communication","OS Scheduler, Game Engine, Data Analytics"
4,"Python, JavaScript, SQL","Leadership, Communication, Adaptability","Real-time Chat App, Weather Dashboard, Inventory System"
5,"Java, C++, SQL","Problem Solving, Teamwork, Leadership","Banking System, Queue Simulator, Report Generator"
6,"Python, React, JavaScript","Communication, Problem Solving","Web Scraper, Task Manager, Blog Platform"
7,"Java, SQL, C++","Teamwork, Adaptability, Problem Solving","Android Banking App, Database Tool, File Compressor"
8,"Python, JavaScript, React","Leadership, Time Management, Communication","Traffic Management System, Travel Planner, Expense Tracker"
9,"JavaScript, SQL, React","Teamwork, Problem Solving, Adaptability","E-commerce Website, Social Network, Video Streaming"
10,"Python, C++, DSA","Leadership, Communication, Problem Solving","Chatbot, Maze Solver, Compiler"
11,"Python, SQL, React","Communication, Teamwork","Full-stack App, API Gateway, Authentication System"
12,"Java, JavaScript, Python","Leadership, Problem Solving, Teamwork","Microservices Framework, Load Balancer, Cache Manager"
13,"C++, Python, SQL","Communication, Adaptability, Leadership","Graph Visualization, Database Indexing, Memory Manager"
14,"JavaScript, React, Python","Teamwork, Communication, Problem Solving","Progressive Web App, Cloud Dashboard, Email Client"
15,"Python, SQL, Java","Problem Solving, Teamwork, Adaptability","Data Pipeline, ETL Tool, Analytics Dashboard"
16,"Python, React, JavaScript","Communication, Leadership","Frontend Framework, Design System, State Management"
17,"Java, C++, SQL","Teamwork, Problem Solving, Time Management","Backend API, Data Structures, System Design"
18,"Python, JavaScript, React","Leadership, Communication, Adaptability","IoT Platform, Sensor Dashboard, Alert System"
19,"C++, SQL, Python","Problem Solving, Teamwork, Leadership","Database Optimization, Parallel Processing, Networking"
20,"JavaScript, Python, React","Communication, Adaptability, Problem Solving","Full-stack App, Payment Gateway, Admin Portal"

